arch,corpus,embed_size,embedder,evaluation,job_name,neg_pos_ratio,num_epochs,num_vocab,param_name,regime,score,standardize,task
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.5139631610219846,,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.5127748068924539,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.6223014458308576,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.6682511388393741,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.6880570409982175,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.7021192315309962,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.7074668251138839,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.7029114676173499,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.6999405822935235,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.6975638740344623,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.6939988116458705,1.0,nyms_syn_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.6922162804515746,1.0,nyms_syn_jw
