Concept,Feature,WB_Label,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF
accordion,a_musical_instrument,superordinate,taxonomic,28,1,,18
accordion,has_keys,external_component,visual-form_and_surface,17,2,108,7
accordion,requires_air,contingency,encyclopaedic,11,3,49,4
accordion,associated_with_polkas,associated_entity,encyclopaedic,9,4,9,1
accordion,has_buttons,external_component,visual-form_and_surface,8,5,163,13
accordion,used_by_moving_bellows,action,function,8,5,8,1
accordion,inbeh_-_produces_music,entity_behavior,sound,6,7,178,13
accordion,is_loud,external_surface_property,sound,6,7,317,34
accordion,worn_on_chest,function,function,6,7,6,1
airplane,beh_-_flies,entity_behavior,visual-motion,25,1,712,46
airplane,has_wings,external_component,visual-form_and_surface,20,2,529,44
airplane,used_for_passengers,participant,function,15,3,115,9
airplane,is_fast,systemic_property,visual-motion,11,4,346,33
airplane,requires_pilots,contingency,encyclopaedic,11,4,24,3
airplane,used_for_transportation,function,function,10,6,323,33
airplane,found_in_airports,location,encyclopaedic,8,7,8,1
airplane,is_large,external_surface_property,visual-form_and_surface,8,7,1076,106
airplane,made_of_metal,made_of,visual-form_and_surface,8,7,1472,133
airplane,inbeh_-_crashes,entity_behavior,visual-motion,7,10,7,1
airplane,used_for_travel,function,function,7,10,20,3
airplane,has_a_propeller,external_component,visual-form_and_surface,5,12,10,2
airplane,has_engines,internal_component,visual-form_and_surface,5,12,14,2
alligator,has_teeth,internal_component,visual-form_and_surface,22,1,144,14
alligator,is_green,external_surface_property,visual-colour,19,2,834,47
alligator,an_animal,superordinate,taxonomic,16,3,,99
alligator,is_long,external_surface_property,visual-form_and_surface,14,4,844,81
alligator,a_reptile,superordinate,taxonomic,13,5,,8
alligator,lives_in_swamps,location,encyclopaedic,12,6,32,3
alligator,has_scales,external_component,visual-form_and_surface,11,7,88,10
alligator,lives_in_water,location,encyclopaedic,11,7,394,32
alligator,has_a_tail,external_component,visual-form_and_surface,9,9,379,39
alligator,is_scary,affect_emotion,encyclopaedic,8,10,24,4
alligator,beh_-_swims,entity_behavior,visual-motion,6,11,411,33
alligator,has_a_mouth,external_component,visual-form_and_surface,6,11,6,1
alligator,lives_in_Florida,location,encyclopaedic,6,11,6,1
alligator,beh_-_eats_people,entity_behavior,visual-motion,5,14,11,2
alligator,has_jaws,internal_component,visual-form_and_surface,5,14,5,1
alligator,is_dangerous,systemic_property,encyclopaedic,5,14,316,37
ambulance,has_a_siren,external_component,visual-form_and_surface,25,1,25,1
ambulance,has_flashing_lights,external_component,visual-form_and_surface,18,2,18,1
ambulance,is_fast,systemic_property,visual-motion,17,3,346,33
ambulance,is_white,external_surface_property,visual-colour,17,3,634,51
ambulance,used_by_hospitals,participant,function,13,5,13,1
ambulance,used_for_emergencies,function,function,13,5,13,1
ambulance,a_vehicle,superordinate,taxonomic,9,7,,10
ambulance,requires_caregivers,contingency,encyclopaedic,9,7,9,1
ambulance,has_4_wheels,external_component,visual-form_and_surface,8,9,124,11
ambulance,is_red,external_surface_property,visual-colour,8,9,382,26
ambulance,used_by_sick_people,participant,function,8,9,8,1
ambulance,used_for_injuries,function,function,7,12,7,1
ambulance,a_van,coordinate,taxonomic,6,13,,1
ambulance,is_large,external_surface_property,visual-form_and_surface,6,13,1076,106
ambulance,is_loud,external_surface_property,sound,5,15,317,34
ambulance,is_orange,external_surface_property,visual-colour,5,15,210,15
ambulance,used_by_paramedics,participant,function,5,15,5,1
ambulance,used_for_rescuing,function,function,5,15,5,1
ambulance,used_for_transportation,function,function,5,15,323,33
anchor,is_heavy,systemic_property,tactile,22,1,253,27
anchor,made_of_metal,made_of,visual-form_and_surface,21,2,1472,133
anchor,found_on_boats,location,encyclopaedic,19,3,24,2
